event_id,ticker,catalyst_type,catalyst_date,indication_text,is_cns,status
1000319,WHWK,Phase1,2027-06-30,HWK-007,0,upcoming
1000320,JUNS,Phase2,2027-06-30,JOTROL (Resveratrol),0,upcoming
1000321,WHWK,Phase1,2027-06-30,HWK-016 (MUC16 Targeted ADC),0,upcoming
1000322,ZURA,Phase2,2027-06-30,Tibulizumab (ZB-106) (Bispecific Antibody),0,upcoming
1000323,DNLI,Phase1,2027-06-30,DNL628 (Tau-Targeting Oligonucleotide),0,upcoming
1000324,SPTX,Phase2,2027-06-30,GlyphAllo/Glyph Allopregnanolone (SPT-300) (Neuroactive Steroid),0,upcoming
1000325,MESO,Phase3,2027-08-15,Rexlemestrocel,0,upcoming
1000326,CABA,Phase3,2027-08-15,Rese-cel (formerly CABA-201),0,upcoming
1000327,RNAC,Phase3,2027-08-15,Descartes-08,0,upcoming
1000328,ALLO,Phase2,2027-08-15,Cemacabtagene Ansegedleucel (cema-cel),0,upcoming
1000329,DAWN,Phase3,2027-08-15,OJEMDA™ (Tovorafenib) (DAY101) ,0,upcoming
1000330,BCAX,Phase2/3,2027-08-15,Ficerafusp alfa + Pembrolizumab,0,upcoming
1000331,ANRO,Phase2,2027-08-15,ALTO-100,0,upcoming
1000332,ABVX,Phase2,2027-08-15,Obefazimod,0,upcoming
1000333,BIIB,Phase3,2027-08-15,Zorevunersen,0,upcoming
1000334,KYMR,Phase2,2027-08-15,KT-621 (Oral STAT6 Degrader),0,upcoming
1000335,ALXO,Phase2,2027-08-15,Evorpacept (ALX148) + Trastuzumab + Chemotherapy (CD47 Blocker),0,upcoming
1000336,XENE,Phase1,2027-12-31,XEN901/NBI-921352,0,upcoming
1000337,IMCR,Phase1/2,2027-12-31,IMC-R117C [PIWIL1-A02 targeted],0,upcoming
1000338,RXRX,Phase1,2027-12-31,REC-4539,0,upcoming
1000339,JBIO,Phase1,2027-12-31,JADE201,0,upcoming
1000340,CORT,Phase1,2027-12-31,Nenocorilant + Nivolumab (GR Antagonist),0,upcoming
1000341,IBIO,Phase1,2027-12-31,IBIO-600 (Myostatin Antibody),0,upcoming
1000342,PCVX,Phase1,2027-12-31,VAX-A1 (Protein Vaccine),0,upcoming
1000343,SNSE,Phase1/2,2027-12-31,Piktor (PI3K/mTOR Inhibitor),0,upcoming
1000344,NBIX,Phase1,2027-12-31,NBIP-2118 (CRF2 Peptide Agonist),0,upcoming
1000345,IFRX,Phase1/2,2027-12-31,Izicopan (C5aR Inhibitor),0,upcoming
1000346,RAPP,Phase1,2027-12-31,RAP-219 Long-Acting Injectable (RAP-219) (TARPγ8 NAM),0,upcoming
1000347,IMTX,Phase1,2027-12-31,IMA401/IMA402 (TCR Bispecific Combination),0,upcoming
1000348,IMTX,Phase1,2027-12-31,IMA401/IMA402 (TCR Bispecific Combination),0,upcoming
1000349,AKTS,Phase1,2027-12-31,[225Ac]Ac-AKY-2519 (AKY-2519),0,upcoming
1000350,SNDX,Phase3,2028-03-31,Axatilimab (SNDX-6352) + Steroids,0,upcoming
1000351,DCTH,Phase2,2028-08-15,HEPZATO™,0,upcoming
1000352,IMRX,Phase3,2028-08-15,Atebimetinib (IMM-1-104) (MEK Inhibitor),0,upcoming
1000353,BOLD,Phase1/2,2028-12-31,BBI-940,0,upcoming
1000354,CNTX,Phase1,2026-12-31,CTIM-76,0,upcoming
1000355,TAK,PDUFA,2026-09-30,Oveporexton (Orexin Agonist),0,upcoming
1000356,VSTM,Phase1/2,2026-06-23,GFH375 (VS-7375),0,upcoming
1000357,OTLK,PDUFA,2026-07-29,ONS-5010 / LYTENAVA™ (bevacizumab-vikg),0,upcoming
1000358,HCWB,Phase1,2026-12-31,HCW9302,0,upcoming
1000359,INBX,PDUFA,2027-04-14,Ozekibart (INBRX-109) (DR5 agonist),0,upcoming
1000360,EWTX,Phase3,2026-12-31,EDG-7500,0,upcoming
1000361,NBP,Phase1,2026-12-31,Givastomig (TJ-CD4B/ABL111) combo w/ nivolumab + chemo,0,upcoming
1000362,BIOA,Phase2,2026-12-31,BGE-102,0,upcoming
